GeneID,Symbol,Score,P-value
6622,SNCA,0.138576243,3.1699E-65
230,ALDOC,-0.133590387,6.80601E-28
627,BDNF,1.141288113,2.63683E-27
7857,SCG2,1.033283061,5.27216E-27
5054,SERPINE1,0.221728868,1.88766E-24
116,ADCYAP1,0.881139323,7.56357E-24
5999,RGS4,0.193508118,2.37138E-22
284434,NWD1,-0.001781156,1.84076E-20
4155,MBP,0.148543086,2.21983E-20
6374,CXCL5,-0.328975044,4.33786E-20
285016,ALKAL2,0.923141226,5.45609E-20
5803,PTPRZ1,0.059751743,1.73453E-19
2752,GLUL,-0.146556137,6.07618E-19
5368,PNOC,0.381228057,8.412E-19
7425,VGF,0.657144109,3.07251E-18
8671,SLC4A4,-0.04393707,3.92729E-18
2353,FOS,1.240825784,5.94924E-18
5743,PTGS2,1.832232203,5.72686E-17
59,ACTA2,0.369565526,5.90617E-17
2731,GLDC,-0.049444012,6.16977E-17
6538,SLC6A11,-0.235403353,4.66712E-16
26027,ACOT11,-0.213767209,5.38793E-16
7941,PLA2G7,0.086032324,1.06531E-15
3624,INHBA,1.795456933,1.17609E-15
8613,PLPP3,-0.124603231,2.36128E-15
1901,S1PR1,0.027255031,7.1258E-15
11170,FAM107A,-0.334395401,1.09517E-14
57447,NDRG2,-0.103842336,1.31239E-14
5997,RGS2,0.354394249,2.09302E-14
2670,GFAP,-0.027299504,1.06912E-13
1843,DUSP1,0.757717106,1.11238E-13
1848,DUSP6,0.38044021,1.31241E-13
3766,KCNJ10,-0.062775894,1.58164E-13
3491,CCN1,0.309201071,1.61851E-13
5364,PLXNB1,-0.072381744,1.94088E-13
3400,ID4,-0.066752104,4.33745E-13
2944,GSTM1,-0.000897838,4.59237E-13
23205,ACSBG1,-0.136759303,6.62122E-13
4038,LRP4,-0.1714531,7.81275E-13
5122,PCSK1,0.698544958,1.71256E-12
2354,FOSB,1.443852383,1.95016E-12
3726,JUNB,0.39091807,3.44361E-12
3164,NR4A1,0.564300938,4.25502E-12
1893,ECM1,0.374938658,4.53804E-12
9427,ECEL1,0.580184874,7.95309E-12
4852,NPY,0.031994895,1.14373E-11
467,ATF3,1.967105501,2.39323E-11
63827,BCAN,-0.248918774,2.51382E-11
4646,MYO6,-0.025140858,2.86118E-11
477,ATP1A2,-0.025405702,2.92452E-11
80150,ASRGL1,-0.133010124,3.45006E-11
4015,LOX,0.390677237,3.4902E-11
59353,TMEM35A,0.140892285,3.55631E-11
3475,IFRD1,0.457242954,3.96007E-11
2246,FGF1,-0.114725812,4.20641E-11
55118,CRTAC1,-0.019459738,4.88925E-11
29114,TAGLN3,0.12234077,5.71362E-11
4880,NPPC,0.390775114,6.5107E-11
3488,IGFBP5,-0.024387236,9.00808E-11
63923,TNN,0.492330298,1.19219E-10
1374,CPT1A,-0.120675189,1.23308E-10
6422,SFRP1,0.055234899,1.45186E-10
11166,SOX21,-0.000168882,2.13518E-10
5179,PENK,0.052531326,2.25197E-10
100505381,MMD2,-0.163034902,2.65446E-10
23237,ARC,0.632700157,4.14303E-10
3934,LCN2,0.063870229,4.83432E-10
7057,THBS1,0.276923841,5.22943E-10
10991,SLC38A3,-0.12497734,5.75448E-10
1846,DUSP4,0.923018738,5.75982E-10
5744,PTHLH,0.932027068,7.70959E-10
4741,NEFM,0.062209448,1.04272E-09
400120,SERTM1,0.356926755,1.16062E-09
4783,NFIL3,0.520152881,1.16624E-09
6876,TAGLN,0.269718434,1.38652E-09
2355,FOSL2,0.764956766,1.40861E-09
1490,CCN2,0.460552107,1.58739E-09
138151,NACC2,0.035993682,1.6485E-09
361,AQP4,-0.015942189,1.66363E-09
5834,PYGB,-0.044236247,1.74715E-09
140767,NRSN1,0.335443166,1.85669E-09
81551,STMN4,0.140196218,2.08818E-09
10417,SPON2,0.416721185,2.18961E-09
6009,RHEB,0.28421552,2.73645E-09
9510,ADAMTS1,0.496550777,2.86667E-09
6860,SYT4,0.583612972,3.3119E-09
9865,TRIL,0.006382853,3.81512E-09
6507,SLC1A3,-0.086420683,4.38947E-09
7018,TF,-0.10588968,5.17206E-09
4885,NPTX2,1.771339526,6.00225E-09
23209,MLC1,-0.059067624,6.20237E-09
6506,SLC1A2,0.004946665,6.32066E-09
9071,CLDN10,-0.186683463,6.66936E-09
84532,ACSS1,-0.124006867,7.24933E-09
57722,IGDCC4,0.038226409,7.43675E-09
4747,NEFL,0.008265457,7.49526E-09
132299,OCIAD2,0.179060986,9.46829E-09
2199,FBLN2,0.321769245,1.01717E-08
10912,GADD45G,0.326795118,1.06359E-08
3939,LDHA,0.131873502,1.19543E-08
5354,PLP1,-0.235105935,1.68206E-08
6281,S100A10,0.150863258,1.90178E-08
220296,HEPACAM,-0.10005418,2.13544E-08
160622,TAMALIN,0.552425565,2.51844E-08
1734,DIO2,-0.084428411,2.74238E-08
1325,CORT,0.179073062,2.77785E-08
5292,PIM1,0.941202366,2.80562E-08
51375,SNX7,0.338530119,3.49908E-08
10769,PLK2,0.286522083,3.69622E-08
1649,DDIT3,0.475981735,3.72665E-08
7037,TFRC,0.464564556,3.89182E-08
8013,NR4A3,0.518649176,4.06636E-08
1959,EGR2,0.733864466,4.32839E-08
6004,RGS16,0.711047602,4.32894E-08
93109,TMEM44,-0.172893641,4.58657E-08
90161,HS6ST2,0.135961381,5.29357E-08
358,AQP1,0.427792536,5.29789E-08
1295,COL8A1,0.185038849,5.6442E-08
2697,GJA1,0.032891234,6.06128E-08
55603,TENT5A,0.872295114,6.13993E-08
10777,ARPP21,0.208026955,6.45513E-08
116173,CMTM5,-0.093088952,6.58817E-08
493,ATP2B4,-0.084235329,8.58672E-08
23645,PPP1R15A,0.690817948,8.74E-08
94097,SFXN5,-0.083430336,9.07523E-08
26471,NUPR1,1.108106534,9.15538E-08
51299,NRN1,0.291716486,9.80519E-08
57462,MYORG,-0.169274507,1.04931E-07
9368,NHERF1,-0.104327422,1.2635E-07
6720,SREBF1,-0.183403778,1.40818E-07
7171,TPM4,0.361795421,1.47741E-07
130132,RFTN2,-0.337568011,1.55056E-07
3490,IGFBP7,0.091119634,1.57185E-07
137872,ADHFE1,0.128330737,1.60187E-07
128272,ARHGEF19,-0.231039143,1.70212E-07
266743,NPAS4,0.603287977,1.97469E-07
9444,QKI,-0.032189895,1.98024E-07
53834,FGFRL1,-0.108400168,2.09602E-07
682,BSG,0.116049954,2.32163E-07
84525,HOPX,-0.266165187,2.60753E-07
63874,ABHD4,-0.030521195,2.73916E-07
1958,EGR1,0.400178534,3.23375E-07
216,ALDH1A1,0.279670693,3.56069E-07
2034,EPAS1,0.01477237,3.72022E-07
85315,PAQR8,-0.092299482,3.8068E-07
57084,SLC17A6,0.538106675,4.14371E-07
64102,TNMD,1.476030338,4.43546E-07
6446,SGK1,0.351188367,4.67902E-07
1466,CSRP2,0.567046492,4.93395E-07
3671,ISLR,-0.182444015,5.31601E-07
26355,FAM162A,0.471407389,5.38751E-07
114786,XKR4,0.04969391,5.49767E-07
7168,TPM1,0.084894149,6.05286E-07
58526,MID1IP1,-0.115781848,6.29245E-07
2878,GPX3,-0.006990616,6.5899E-07
468,ATF4,0.321361811,6.7478E-07
1839,HBEGF,0.59659675,6.91021E-07
65997,RASL11B,0.324260419,6.92874E-07
9435,CHST2,-0.08828544,7.0361E-07
408263,FNDC9,0.674681406,7.34298E-07
5173,PDYN,0.354917323,7.4889E-07
3105,HLA-A,0.348087047,9.32497E-07
27163,NAAA,-0.104166708,9.52141E-07
90523,MLIP,0.337795337,9.96105E-07
1390,CREM,0.444808949,1.02334E-06
340527,NHSL2,-0.068114771,1.03414E-06
83733,SLC25A18,-0.285039754,1.04195E-06
9723,SEMA3E,0.523861458,1.07869E-06
8863,PER3,-0.623605835,1.13351E-06
7076,TIMP1,0.344636577,1.1996E-06
23500,DAAM2,0.061690394,1.23274E-06
51330,TNFRSF12A,0.429380729,1.24392E-06
5218,CDK14,-0.168711184,1.28914E-06
115908,CTHRC1,0.377228268,1.3538E-06
3485,IGFBP2,-0.019911354,1.37522E-06
53373,TPCN1,-0.147812366,1.3783E-06
8870,IER3,0.689934487,1.41874E-06
338645,LUZP2,-0.034321337,1.55181E-06
968,CD68,1.170007948,1.58905E-06
9123,SLC16A3,1.489605528,1.59121E-06
55225,RAVER2,-0.161343248,1.63404E-06
2012,EMP1,0.787689383,1.73507E-06
90411,MCFD2,0.139591492,1.7554E-06
3131,HLF,-0.13255348,1.90755E-06
64129,TINAGL1,0.267289659,1.98115E-06
85450,ITPRIP,1.208038816,2.14636E-06
1956,EGFR,-0.015947592,2.41667E-06
3958,LGALS3,0.900808014,2.68775E-06
5358,PLS3,0.117061418,2.70794E-06
347,APOD,0.095916684,2.79366E-06
7301,TYRO3,0.141146332,2.83911E-06
27319,BHLHE22,-0.276044309,2.93088E-06
10317,B3GALT5,-0.232364322,2.95812E-06
116443,GRIN3A,-0.142866633,3.03788E-06
171024,SYNPO2,0.12348224,3.18565E-06
79971,WLS,0.181474405,3.22257E-06
26084,ARHGEF26,0.055033477,3.26332E-06
79784,MYH14,-0.066624656,3.3393E-06
80031,SEMA6D,-0.056360906,3.39252E-06
9388,LIPG,0.485717367,3.41762E-06
134353,LSM11,0.121259254,3.51187E-06
4677,NARS1,0.21374377,3.58451E-06
55553,SOX6,-0.153530981,3.74454E-06
51278,IER5,0.487711928,3.78214E-06
56062,KLHL4,0.40123772,4.03928E-06
55816,DOK5,0.245178585,4.24275E-06
