GeneID,Symbol,Score,P-value
6622,SNCA,0.323060223,3.1699E-65
230,ALDOC,0.233202008,6.80601E-28
627,BDNF,-0.549896222,2.63683E-27
7857,SCG2,-0.607832577,5.27216E-27
5054,SERPINE1,-0.598310591,1.88766E-24
116,ADCYAP1,-0.380009985,7.56357E-24
5999,RGS4,-0.261157504,2.37138E-22
284434,NWD1,0.246316768,1.84076E-20
4155,MBP,-0.262570294,2.21983E-20
6374,CXCL5,-0.580984207,4.33786E-20
285016,ALKAL2,-1.466180835,5.45609E-20
5803,PTPRZ1,0.048832377,1.73453E-19
2752,GLUL,0.178444371,6.07618E-19
5368,PNOC,-1.090357336,8.412E-19
7425,VGF,-0.589097496,3.07251E-18
8671,SLC4A4,-0.054396879,3.92729E-18
2353,FOS,-0.833246497,5.94924E-18
5743,PTGS2,-1.818479451,5.72686E-17
59,ACTA2,-0.945603335,5.90617E-17
2731,GLDC,0.506929355,6.16977E-17
6538,SLC6A11,0.315946159,4.66712E-16
26027,ACOT11,-0.159364352,5.38793E-16
7941,PLA2G7,0.570583032,1.06531E-15
3624,INHBA,-0.909178974,1.17609E-15
8613,PLPP3,0.238344858,2.36128E-15
1901,S1PR1,0.394703565,7.1258E-15
11170,FAM107A,-0.315031243,1.09517E-14
57447,NDRG2,0.209812817,1.31239E-14
5997,RGS2,-0.374614747,2.09302E-14
2670,GFAP,0.169075392,1.06912E-13
1843,DUSP1,-0.761756821,1.11238E-13
1848,DUSP6,-0.137442921,1.31241E-13
3766,KCNJ10,-0.038181245,1.58164E-13
3491,CCN1,-0.402096438,1.61851E-13
5364,PLXNB1,-0.006661811,1.94088E-13
3400,ID4,0.48331347,4.33745E-13
2944,GSTM1,0.409789729,4.59237E-13
23205,ACSBG1,-0.042035543,6.62122E-13
4038,LRP4,-0.063355884,7.81275E-13
5122,PCSK1,-0.400249805,1.71256E-12
2354,FOSB,-1.312780184,1.95016E-12
3726,JUNB,-0.317651394,3.44361E-12
3164,NR4A1,-0.695764075,4.25502E-12
1893,ECM1,-0.410524492,4.53804E-12
9427,ECEL1,-0.398919325,7.95309E-12
4852,NPY,-0.699282439,1.14373E-11
467,ATF3,-0.956460249,2.39323E-11
63827,BCAN,0.154201367,2.51382E-11
4646,MYO6,-0.015791999,2.86118E-11
477,ATP1A2,0.284074636,2.92452E-11
80150,ASRGL1,0.2005238,3.45006E-11
4015,LOX,-0.370534355,3.4902E-11
59353,TMEM35A,0.133311767,3.55631E-11
3475,IFRD1,-0.212252287,3.96007E-11
2246,FGF1,0.100121289,4.20641E-11
55118,CRTAC1,-0.280621149,4.88925E-11
29114,TAGLN3,0.144462735,5.71362E-11
4880,NPPC,-0.679354643,6.5107E-11
3488,IGFBP5,0.169110381,9.00808E-11
63923,TNN,-0.60743671,1.19219E-10
1374,CPT1A,0.288416337,1.23308E-10
6422,SFRP1,0.30897784,1.45186E-10
11166,SOX21,0.271209969,2.13518E-10
5179,PENK,-0.490590308,2.25197E-10
100505381,MMD2,0.077155817,2.65446E-10
23237,ARC,-0.955020883,4.14303E-10
3934,LCN2,-1.752891712,4.83432E-10
7057,THBS1,-0.565497615,5.22943E-10
10991,SLC38A3,0.370698756,5.75448E-10
1846,DUSP4,-0.367744506,5.75982E-10
5744,PTHLH,-1.551781154,7.70959E-10
4741,NEFM,-0.601980414,1.04272E-09
400120,SERTM1,-0.100964751,1.16062E-09
4783,NFIL3,-0.427901298,1.16624E-09
6876,TAGLN,-0.685027802,1.38652E-09
2355,FOSL2,-0.610413439,1.40861E-09
1490,CCN2,0.160025503,1.58739E-09
138151,NACC2,0.019406927,1.6485E-09
361,AQP4,-0.12394765,1.66363E-09
5834,PYGB,0.30186921,1.74715E-09
140767,NRSN1,-0.078886592,1.85669E-09
81551,STMN4,-0.024997489,2.08818E-09
10417,SPON2,-0.75687176,2.18961E-09
6009,RHEB,-0.01421604,2.73645E-09
9510,ADAMTS1,-0.536550201,2.86667E-09
6860,SYT4,0.056498177,3.3119E-09
9865,TRIL,0.036551566,3.81512E-09
6507,SLC1A3,0.025469932,4.38947E-09
7018,TF,-0.503297183,5.17206E-09
4885,NPTX2,-1.653900014,6.00225E-09
23209,MLC1,0.239003111,6.20237E-09
6506,SLC1A2,-0.065522838,6.32066E-09
9071,CLDN10,0.443078714,6.66936E-09
84532,ACSS1,0.159353259,7.24933E-09
57722,IGDCC4,0.089236784,7.43675E-09
4747,NEFL,-0.273708535,7.49526E-09
132299,OCIAD2,-0.123198019,9.46829E-09
2199,FBLN2,-0.687434296,1.01717E-08
10912,GADD45G,-0.280535367,1.06359E-08
3939,LDHA,-0.315255924,1.19543E-08
5354,PLP1,0.046891472,1.68206E-08
6281,S100A10,-0.266612252,1.90178E-08
220296,HEPACAM,0.085548213,2.13544E-08
160622,TAMALIN,-0.254048242,2.51844E-08
1734,DIO2,-0.563408887,2.74238E-08
1325,CORT,-0.279609395,2.77785E-08
5292,PIM1,-0.661703074,2.80562E-08
51375,SNX7,-0.073191201,3.49908E-08
10769,PLK2,-0.075003951,3.69622E-08
1649,DDIT3,-0.044302791,3.72665E-08
7037,TFRC,0.461673768,3.89182E-08
8013,NR4A3,0.014736816,4.06636E-08
1959,EGR2,-0.624871468,4.32839E-08
6004,RGS16,-0.87046188,4.32894E-08
93109,TMEM44,0.094065756,4.58657E-08
90161,HS6ST2,-0.350401102,5.29357E-08
358,AQP1,0.029243202,5.29789E-08
1295,COL8A1,-0.18891089,5.6442E-08
2697,GJA1,0.094176981,6.06128E-08
55603,TENT5A,-0.547051492,6.13993E-08
10777,ARPP21,-0.144915924,6.45513E-08
116173,CMTM5,0.33071553,6.58817E-08
493,ATP2B4,0.062720656,8.58672E-08
23645,PPP1R15A,0.059198093,8.74E-08
94097,SFXN5,-0.116969865,9.07523E-08
26471,NUPR1,-0.039183831,9.15538E-08
51299,NRN1,-0.105325762,9.80519E-08
57462,MYORG,-0.230476109,1.04931E-07
