GeneID,Symbol,Score,P-value
6622,SNCA,3.052472032,3.1699E-65
230,ALDOC,1.655778306,6.80601E-28
627,BDNF,-2.310176329,2.63683E-27
7857,SCG2,-2.239592794,5.27216E-27
5054,SERPINE1,-2.45105767,1.88766E-24
116,ADCYAP1,-2.330678021,7.56357E-24
5999,RGS4,-1.341856388,2.37138E-22
284434,NWD1,1.594068707,1.84076E-20
4155,MBP,-1.957813813,2.21983E-20
6374,CXCL5,2.693580072,4.33786E-20
285016,ALKAL2,-2.639677022,5.45609E-20
5803,PTPRZ1,1.365575771,1.73453E-19
2752,GLUL,1.241878876,6.07618E-19
5368,PNOC,-1.642447994,8.412E-19
7425,VGF,-1.721122774,3.07251E-18
8671,SLC4A4,1.518468645,3.92729E-18
2353,FOS,-2.207757206,5.94924E-18
5743,PTGS2,-2.864658527,5.72686E-17
59,ACTA2,-1.698128377,5.90617E-17
2731,GLDC,1.625441333,6.16977E-17
6538,SLC6A11,1.27215878,4.66712E-16
26027,ACOT11,1.546043986,5.38793E-16
7941,PLA2G7,1.134656464,1.06531E-15
3624,INHBA,-2.585203369,1.17609E-15
8613,PLPP3,1.496501089,2.36128E-15
1901,S1PR1,1.309929393,7.1258E-15
11170,FAM107A,1.265863589,1.09517E-14
57447,NDRG2,1.104096788,1.31239E-14
5997,RGS2,-1.253689245,2.09302E-14
2670,GFAP,1.161268931,1.06912E-13
1843,DUSP1,-1.731293174,1.11238E-13
1848,DUSP6,-1.308009912,1.31241E-13
3766,KCNJ10,1.33522544,1.58164E-13
3491,CCN1,-1.247898122,1.61851E-13
5364,PLXNB1,1.508302565,1.94088E-13
3400,ID4,1.148716792,4.33745E-13
2944,GSTM1,0.983349157,4.59237E-13
23205,ACSBG1,1.060173249,6.62122E-13
4038,LRP4,1.540164477,7.81275E-13
5122,PCSK1,-1.658687477,1.71256E-12
2354,FOSB,-2.352464967,1.95016E-12
3726,JUNB,-1.3574426,3.44361E-12
3164,NR4A1,-1.533058515,4.25502E-12
1893,ECM1,-1.446789117,4.53804E-12
9427,ECEL1,-2.097583002,7.95309E-12
4852,NPY,-1.317338494,1.14373E-11
467,ATF3,-2.415147883,2.39323E-11
63827,BCAN,1.175517494,2.51382E-11
4646,MYO6,1.024921657,2.86118E-11
477,ATP1A2,1.123375138,2.92452E-11
80150,ASRGL1,1.080152797,3.45006E-11
4015,LOX,-1.514542005,3.4902E-11
59353,TMEM35A,-0.933652738,3.55631E-11
3475,IFRD1,-1.080203996,3.96007E-11
2246,FGF1,1.296569104,4.20641E-11
55118,CRTAC1,-0.9578073,4.88925E-11
29114,TAGLN3,-1.039294596,5.71362E-11
4880,NPPC,-1.847403906,6.5107E-11
3488,IGFBP5,1.158943952,9.00808E-11
63923,TNN,-2.352086458,1.19219E-10
1374,CPT1A,1.244375022,1.23308E-10
6422,SFRP1,1.059150941,1.45186E-10
11166,SOX21,1.597993419,2.13518E-10
5179,PENK,-1.070907762,2.25197E-10
100505381,MMD2,0.916641523,2.65446E-10
23237,ARC,-1.436363046,4.14303E-10
3934,LCN2,-0.833836914,4.83432E-10
7057,THBS1,-1.079142765,5.22943E-10
10991,SLC38A3,1.17777344,5.75448E-10
1846,DUSP4,-1.646679522,5.75982E-10
5744,PTHLH,-2.112112318,7.70959E-10
4741,NEFM,-0.934254493,1.04272E-09
400120,SERTM1,-1.201583612,1.16062E-09
4783,NFIL3,-1.488224528,1.16624E-09
6876,TAGLN,-1.661416547,1.38652E-09
2355,FOSL2,-1.48153565,1.40861E-09
1490,CCN2,-1.285571804,1.58739E-09
138151,NACC2,0.863383993,1.6485E-09
361,AQP4,1.109076331,1.66363E-09
5834,PYGB,0.808030851,1.74715E-09
140767,NRSN1,-1.22088613,1.85669E-09
81551,STMN4,-0.858492721,2.08818E-09
10417,SPON2,-2.300011079,2.18961E-09
6009,RHEB,-0.83659629,2.73645E-09
9510,ADAMTS1,-1.247727118,2.86667E-09
6860,SYT4,-1.175395672,3.3119E-09
9865,TRIL,1.289544054,3.81512E-09
6507,SLC1A3,1.121660838,4.38947E-09
